Dist_Name,avg_elevation,min_elevation,max_elevation,avg_rainfall_mm,max_rainfall_mm,avg_temp,min_temp,max_temp,avg_air_pressure,DFSI,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration,State_Name
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,16.453444018807634,0.75855332,0.771925606,0.013372286,301.0,46.0,3160597.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,16.29758908817163,0.75855332,0.771925606,0.013372286,301.0,46.0,3160597.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,18.255102457499184,2.741713494,0.192197924,2.54951557,301.0,46.0,4525057.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,18.09924752686318,2.741713494,0.192197924,2.54951557,301.0,46.0,4525057.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,16.453444018807634,2.741713494,0.192197924,2.54951557,301.0,46.0,4525057.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,16.29758908817163,2.741713494,0.192197924,2.54951557,301.0,46.0,4525057.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,18.255102457499184,0.75855332,0.771925606,0.013372286,301.0,46.0,4525057.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,18.09924752686318,0.75855332,0.771925606,0.013372286,301.0,46.0,4525057.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,16.453444018807634,0.75855332,0.771925606,0.013372286,301.0,46.0,4525057.0,13.0,Maharashtra
Aurangabad,580.5,579.0,582.0,2.7179503500954802,97.0,26.720748576078112,5.7,43.8,1009.9437877770316,16.29758908817163,0.75855332,0.771925606,0.013372286,301.0,46.0,4525057.0,13.0,Maharashtra
Azamgarh,,,,,,,,,,17.951289130056143,6.067454778,0.055490347,6.011964431,257.0,11.0,5177742.0,20.0,Uttar Pradesh
Badgam,,,,,,,,,,14.282593564658416,3.988476641,0.182326085,3.806150556,51.0,11.0,992328.0,6.0,Jammu & Kashmir
Bagalkote,524.0,524.0,524.0,2.289724647414372,65.7,26.101678979180658,13.6,42.1,1010.0644728005373,12.352264924637735,1.462562203,1.460163536,0.002398667,67.0,4.0,2065589.0,14.0,Karnataka
Bageshwar,,,,,,,,,,12.479758572738648,0.57268385,0.001914048,0.570769802,40.0,13.0,256564.0,2.0,Uttarakhand
Baghpat,,,,,,,,,,14.060014261552078,4.30209073,0.0,4.30209073,58.0,0.0,1340897.0,26.0,Uttar Pradesh
Bahraich,122.0,122.0,122.0,5.799482133609528,201.9,24.844437799043064,0.2,45.4,1008.2974479516454,18.077352963427945,4.089125081,0.40923834,3.679886741,225.0,32.0,4156731.0,15.0,Uttar Pradesh
Baksa,,,,,,,,,,14.8521292715311,3.829965692,0.097900998,3.732064694,51.0,1.0,1258285.0,7.0,Assam
Balaghat,580.0,580.0,580.0,3.5317662860980525,148.7,24.10933512424446,5.7,42.9,1009.3370047011417,16.630218636838876,1.159502036,0.086946009,1.072556027,118.0,108.0,1884118.0,6.0,Madhya Pradesh
Balangir,,,,,,,,,,13.663829374845571,1.245116533,0.149789566,1.095326967,25.0,0.0,2028038.0,32.0,Odisha
Balasore,18.0,18.0,18.0,6.52376784891755,150.9,26.79008398807911,7.6,44.7,1007.9010073875085,,,,,,,,,Odisha
Baleshwar,,,,,,,,,,17.31748221832247,12.64357177,3.878298705,8.765273065,220.0,5.0,2513933.0,16.0,Odisha
Ballari,468.5,448.0,489.0,1.9904633982538618,94.7,26.290161182001345,13.0,42.2,1010.7315312290127,16.687776013211217,1.132672375,0.584051989,0.548620386,147.0,30.0,2961339.0,8.0,Karnataka
Ballia,,,,,,,,,,18.282412575936064,14.2259764,0.925904877,13.30007152,312.0,13.0,3696633.0,18.0,Uttar Pradesh
Balod,,,,,,,,,,6.814171814275378,0.692282824,0.717205888,0.024923064,0.0,0.0,961306.0,3.0,Chhattisgarh
Baloda Bazar,,,,,,,,,,9.197380868666414,3.669338228,0.368934666,3.300403562,0.0,0.0,1681629.0,2.0,Chhattisgarh
Balrampur,,,,,,,,,,16.273890154213387,0.665330167,0.022677673,0.642652494,58.0,26.0,853775.0,20.0,Uttar Pradesh
Balrampur,,,,,,,,,,15.795300126674809,0.665330167,0.022677673,0.642652494,58.0,26.0,853775.0,20.0,Uttar Pradesh
Balrampur,,,,,,,,,,15.71565822290066,0.665330167,0.022677673,0.642652494,58.0,26.0,853775.0,20.0,Chhattisgarh
