Dist_Name,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
Lakhimpur,214,39,1161342,9.0,15.4979388,1.049242136,14.44869666
Lakhisarai,89,0,1174729,25.0,12.2823616,0.192831525,12.08953008
Lakshadweep,0,0,60324,,17.42627711,13.42627711,4.0
Lalitpur,35,4,1495673,25.0,1.497263878,1.506086959,0.008823081
Latehar,1,0,974550,2.0,0.573164859,0.027933586,0.545231273
Latur,54,6,2795413,4.0,0.559348532,0.350302784,0.209045748
Lawngtlai,12,2,149520,3.0,2.814060532,0.021722019,2.792338513
Leh,162,30,158993,1.0,0.46868104,0.486956079,0.018275039
Lepa Rada,3,1,22468,5.0,0.870628148,0.0,0.870628148
Lohardaga,7,0,575951,2.0,0.868753763,0.077224984,0.791528779
Lohit,14,1,51927,6.0,2.719050727,0.57149925,2.147551477
Longding,4,1,60400,5.0,0.638916752,0.0,0.638916752
Longleng,0,0,30296,7.0,2.847941427,0.010400483,2.837540944
Lower Dibang Valley,5,1,59491,4.0,1.560368914,0.162468901,1.397900013
Lower Siang,4,1,19141,5.0,2.214148435,0.042159747,2.171988688
Lower Subansiri,12,1,99671,5.0,0.836132857,0.006756278,0.829376579
Lucknow,175,10,5804005,17.0,1.996226278,0.00696436,1.989261918
Ludhiana,70,1,3965684,7.0,4.786805709,0.007473247,4.779332462
Lunglei,12,0,188482,4.0,2.6734292,0.01244799,2.66098121
Madhepura,156,0,2498415,24.0,3.91579591,0.008027921,3.907767989
Madhubani,216,10,5126077,19.0,3.784620529,0.037751436,3.746869093
Madurai,56,54,3384080,7.0,1.022103303,0.009182441,1.012920862
Mahabubabad,4,0,802801,8.0,0.514342184,0.26668014,0.247662044
Mahabubnagar,40,0,1071711,6.0,0.520380467,0.103573838,0.416806629
Mahasamund,5,56,1179980,4.0,0.960933082,0.333392516,0.627540566
Mahe,0,0,50846,7.0,1.6545,1.410606801,0.243893199
Mahendragarh,2,0,970462,7.0,0.562223928,0.000562973,0.561660955
Mahesana,68,3,2169424,26.0,0.776246826,0.08453985,0.691706976
Mahisagar,33,1,1041596,25.0,2.501932587,1.803625613,0.698306974
Mahoba,35,1,1077440,26.0,0.539052412,0.300865401,0.238187011
Mahrajganj,36,0,3375140,27.0,3.336576576,0.082956237,3.253620339
Mainpuri,111,1,2193399,24.0,3.043030701,0.0,3.043030701
Majuli,54,1,147155,11.0,13.12975694,4.888294451,8.241462489
Malappuram,161,50,4458146,5.0,1.938819937,0.260316709,1.678503228
Maldah,221,53,4260890,11.0,11.77624381,2.419208171,9.357035639
Malkangiri,30,0,757865,29.0,1.711137196,1.784198785,0.073061589
Mamit,7,0,138551,3.0,1.381857077,0.0,1.381857077
Mancherial,1,0,750195,10.0,2.37206874,1.035405769,1.336662971
Mandi,187,26,1131583,4.0,0.910437082,0.174020686,0.736416396
Mandla,10,0,1110768,7.0,1.57739714,0.911846658,0.665550482
Mandsaur,27,1,1424619,5.0,1.435703116,1.47147063,0.035767514
Mandya,43,4,1886354,10.0,2.146957544,0.730831983,1.416125561
Mansa,37,0,742955,5.0,2.763547618,0.004390434,2.759157184
Mathura,115,5,3064227,23.0,4.807455013,0.0,4.807455013
Mau,50,0,2493398,24.0,4.820667589,0.274573764,4.546093825
Mayurbhanj,40,2,2891283,23.0,1.289395367,0.185356663,1.104038704
Medak,38,1,858985,14.0,1.038975884,0.130629891,0.908345993
Medchal Malkajgiri,6,1,3917267,15.0,0.338814937,0.108188415,0.230626522
Medinipur West,294,10,5510554,10.0,7.838525951,0.025978003,7.812547948
Meerut,213,10,3877321,21.0,3.284379909,0.007909836,3.276470073
Mirpur,29,0,7110,8.0,2.033481738,1.696173528,0.33730821
Mirzapur,206,0,3135271,21.0,4.158753681,1.473547713,2.685205968
Moga,8,1,1027279,6.0,2.73145838,0.0,2.73145838
Mokokchung,0,0,168849,7.0,1.200974196,0.0,1.200974196
Mon,0,0,228717,7.0,2.746283665,0.00464644,2.741637225
Moradabad,200,1,3696840,22.0,3.838687956,0.0,3.838687956
Morbi,48,2,1099951,21.0,0.897578925,1.089593543,0.192014618
Morena,57,0,2318601,5.0,3.024035354,0.36602215,2.658013204
Morigaon,81,3,1127394,8.0,15.71118817,2.221938191,13.48924998
Mulugu,17,0,308187,8.0,2.920152054,0.667449464,2.25270259
Mumbai,1016,437,2831580,3.0,0.013175876,0.012175873,0.001000003
Mumbai Suburban,145,77,10791581,3.0,0.915654785,0.914657543,0.000997242
Mungeli,2,4,784748,2.0,2.354397777,0.519156343,1.835241434
Munger,134,4,1690301,22.0,15.77841256,2.040092021,13.73832054
Murshidabad,435,9,8350690,23.0,11.63868869,1.234154397,10.40453429
Muzaffarabad,29,0,9108,8.0,0.705240174,0.275433011,0.429807163
Muzaffarnagar,146,13,3353539,21.0,1.484914141,0.003804991,1.48110915
Muzaffarpur,201,18,6144680,19.0,11.95012947,0.19126057,11.7588689
Mysuru,75,14,3330925,8.0,1.66900183,1.291071277,0.377930553
Nabarangapur,3,0,1425811,8.0,0.945022433,0.509433477,0.435588956
Nadia,230,3,5440236,24.0,10.67147424,0.744726558,9.926747682
Nagaon,144,5,2348489,8.0,13.62634202,0.20685283,13.41948919
Nagapattinam,81,5,1816255,6.0,12.49792911,4.028133598,8.469795512
Nagarkurnool,1,0,978724,10.0,2.158570923,0.873611522,1.284959401
Nagaur,30,0,3826407,24.0,0.318324761,0.004782392,0.313542369
Nagpur,689,78,5242373,3.0,1.535057736,1.136796464,0.398261272
Nainital,91,6,1104668,3.0,0.775389314,0.026065252,0.749324062
Nalanda,108,0,3649192,23.0,17.26579914,0.017069197,17.24872994
Nalbari,130,1,978546,10.0,8.823179287,2.234621552,6.588557735
Nalgonda,67,2,1795837,8.0,1.110181564,1.121014225,0.010832661
Namakkal,29,4,2030160,8.0,0.411626715,0.022086664,0.389540051
Namsai,4,1,120106,5.0,4.082402322,0.299110207,3.783292115
Nanded,262,34,3861544,4.0,1.586913636,0.436541633,1.150372003
Nandurbar,43,6,2039682,4.0,1.936180535,1.1061674,0.830013135
Narayanpet,11,0,669576,5.0,1.584991037,0.815999907,0.76899113
Narayanpur,6,2,120311,2.0,0.591873275,0.019401894,0.572471381
Narmada,47,0,694589,11.0,5.679248253,2.564251605,3.114996648
Narsimhapur,14,0,1275736,7.0,2.214872889,0.238163477,1.976709412
Nashik,158,70,7301954,3.0,0.73876734,0.729292944,0.009474396
Navsari,79,6,1457183,21.0,2.899986996,0.636447966,2.26353903
Nawada,98,23,2765346,25.0,1.840779083,0.079535975,1.761243108
Nayagarh,36,0,1012257,29.0,4.840654376,0.392848482,4.447805894
Neemuch,14,1,905934,6.0,1.80618778,1.853193024,0.047005244
New Delhi,21,20,1064852,3.0,0.014199219,0.0,0.014199219
Nicobars,0,0,27340,,0.090612489,0.0,0.090612489
Nirmal,2,0,747102,10.0,2.495939442,1.345821289,1.150118153
Niwari,2,0,474884,8.0,2.347448333,0.208926357,2.138521976
Nizamabad,95,1,1716963,8.0,1.414979667,1.37012829,0.044851377
Noney,56,18,58122,6.0,2.73207358,0.05487921,2.67719437
North,19,9,2128488,3.0,1.725427554,0.0,1.725427554
North  & Middle Andaman,0,0,101677,1.0,1.3148171,0.0,1.3148171
North  District,88,16,44583,3.0,0.608832673,0.545185157,0.063647516
North East,2,7,1444919,3.0,1.464774777,0.0,1.464774777
North Garo Hills,13,0,191024,5.0,1.505747627,0.0,1.505747627
North Goa,7,4,718288,4.0,4.159637042,2.577757251,1.581879791
North Tripura,96,1,417050,4.0,1.542869002,0.0,1.542869002
North Twenty Four Pargan*,294,16,10544399,19.0,18.6648469,7.43925593,11.22559097
North West,2,4,2287355,3.0,0.1,0.0,0.1
Nuapada,25,0,702602,34.0,1.647190051,0.35257892,1.294611131
Nuh,2,0,1279625,7.0,0.669910248,0.0,0.669910248
Osmanabad,137,10,1913512,4.0,0.279521656,0.27922672,0.000294936
Pakke Kessang,3,1,18414,5.0,1.745384121,0.023431627,1.721952494
Pakur,1,0,1077497,6.0,3.841519374,0.015471341,3.826048033
Palakkad,104,38,3024581,6.0,2.435607291,0.550109826,1.885497465
Palamu,23,1,2294123,8.0,1.260455563,0.197368643,1.06308692
Palghar,78,4,3787472,3.0,2.015211138,1.112239022,0.902972116
Pali,136,8,2254626,18.0,0.420034216,0.028374093,0.391660123
Palwal,2,0,1312139,7.0,1.788990887,0.0,1.788990887
Panch Mahals,86,2,1953336,22.0,0.963141904,0.574815885,0.388326019
Panchkula,18,6,597239,4.0,0.322349702,0.040273471,0.282076231
Panipat,19,0,1456085,6.0,1.825319296,0.0,1.825319296
Panna,8,0,1214594,7.0,0.90658603,0.165583402,0.741002628
Papum Pare,73,9,245559,4.0,0.846868747,0.021507801,0.825360946
Parbhani,230,15,2068053,4.0,3.612234955,0.631474073,2.980760882
Paschim Bardhaman,117,0,3727296,13.0,2.156244683,0.422563785,1.733680898
Pashchim Champaran,194,11,4925046,20.0,6.581510908,0.22060865,6.360902258
Pashchimi Singhbhum,2,0,1744372,3.0,0.910148694,0.04196336,0.868185334
Patan,48,2,1464752,25.0,2.72529709,0.128901094,2.596395996
Pathanamthitta,132,30,1320089,6.0,1.224907042,0.233181386,0.991725656
Pathankot,6,0,713016,7.0,2.474306677,1.207937139,1.266369538
Patiala,80,74,2269761,5.0,4.903037722,0.000974475,4.902063247
Patna,381,30,6868950,16.0,20.26981192,1.449192516,18.8206194
Peddapalli,1,0,919259,10.0,3.699961317,1.102681823,2.597279494
Perambalur,32,4,600175,8.0,0.714228873,0.002767237,0.711461636
Peren,1,0,96231,4.0,0.587829484,0.001342531,0.586486953
Phek,2,2,164195,4.0,1.968885678,0.002356585,1.966529093
Pherzawl,0,0,54252,7.0,2.387954764,0.021159458,2.366795306
Pilibhit,98,1,2398821,23.0,3.104616978,0.672146699,2.432470279
Pithoragarh,1636,21,510103,3.0,0.525534276,0.108953862,0.416580414
Porbandar,49,2,660431,12.0,5.378579118,0.51266173,4.865917388
Prakasam,177,0,3731704,8.0,1.152408401,0.273749091,0.87865931
Pratapgarh,165,9,1070109,23.0,0.34101676,0.239472067,0.101544693
Pratapgarh,165,9,1070109,23.0,3.66688256,0.018238429,3.648644131
Pratapgarh,165,9,3854756,23.0,0.34101676,0.239472067,0.101544693
Pratapgarh,165,9,3854756,23.0,3.66688256,0.018238429,3.648644131
Prayagraj,277,5,7094453,18.0,8.8123858,0.784955122,8.027430678
Puducherry,6,0,1148821,4.0,1.760373358,0.820562264,0.939811094
Pudukkottai,46,4,1827769,6.0,0.699430563,0.085746267,0.613684296
Pulwama,76,17,1008086,4.0,3.270901569,0.279219117,2.991682452
Punch,155,13,697454,4.0,0.738012141,0.059684491,0.67832765
Pune,547,119,11979873,2.0,1.079353461,1.091416421,0.01206296
Purba Bardhaman,45,0,4891157,34.0,8.794297365,0.24975544,8.544541925
Purba Champaran,184,20,6322257,19.0,9.508604013,0.12116348,9.387440533
Purba Medinipur,302,17,5760374,10.0,17.52355839,2.04670632,15.47685207
Purbi Singhbhum,32,0,2787911,3.0,1.736697053,0.089703785,1.646993268
Puri,267,0,1855870,22.0,18.91181616,18.5900097,0.32180646
Purnia,166,0,4127576,21.0,6.353941784,0.033127573,6.320814211
Puruliya,54,0,3407465,32.0,0.817297747,0.509342358,0.307955389
Rae Bareli,45,0,2819588,30.0,5.209973941,0.023735469,5.186238472
Raichur,141,34,2140588,8.0,1.42584206,0.565825072,0.860016988
Raigarh,328,93,1654533,3.0,1.171171998,0.340147342,0.831024656
Raigarh,328,93,1654533,3.0,2.063545631,2.02693479,0.036610841
Raigarh,328,93,3072698,3.0,1.171171998,0.340147342,0.831024656
Raigarh,328,93,3072698,3.0,2.063545631,2.02693479,0.036610841
Raipur,39,66,2814996,3.0,1.037598285,0.445146211,0.592452074
Raisen,56,12,1582981,5.0,1.851820563,0.547154614,1.304665949
Rajanna Sircilla,1,0,587140,9.0,0.563623248,0.564767428,0.00114418
Rajgarh,21,3,1797738,5.0,0.937282124,0.464455125,0.472826999
Rajkot,1726,8,3534875,18.0,0.801285355,0.493588848,0.307696507
Rajnandgaon,23,14,1792617,2.0,0.602269912,0.353818517,0.248451395
Rajouri,109,18,659577,4.0,0.301855404,0.017946919,0.283908485
Rajsamand,17,0,1353032,32.0,0.253865414,0.088450607,0.165414807
Ramanagara,23,1,1168086,17.0,1.21544654,0.259579863,0.955866677
Ramanathapuram,103,17,1550443,7.0,3.269130248,1.290662657,1.978467591
Ramban,49,18,360350,5.0,0.754358554,0.309949623,0.444408931
Ramgarh,4,11,1068909,2.0,0.955188073,0.516207464,0.438980609
Rampur,52,0,2830370,23.0,4.515924008,0.0,4.515924008
Ranchi,45,6,3525357,5.0,0.833116849,0.368094084,0.465022765
Ranga Reddy,1,0,3667925,4.0,0.412349188,0.327322292,0.085026896
Ranipet,16,4,1198951,10.0,1.50587668,0.142824545,1.363052135
Ratlam,24,0,1682145,6.0,0.690751655,0.102150461,0.588601194
Ratnagiri,280,72,1532470,3.0,1.554240455,0.978975411,0.575265044
Rayagada,31,0,1127993,31.0,1.514776096,0.065376151,1.449399945
Reasi,63,18,394393,5.0,1.749523708,0.510462262,1.239061446
Rewa,38,25,2794552,5.0,0.994456438,0.175699644,0.818756794
Rewari,5,0,1012074,6.0,0.830835644,0.002779906,0.828055738
Ribhoi,14,1,389832,3.0,1.874505797,0.159366599,1.715139198
Rohtak,52,5,1194736,7.0,1.003708527,0.003867208,0.999841319
Rohtas,82,0,3605080,29.0,4.672962273,0.800130744,3.872831529
Rudraprayag,1324,79,248925,2.0,1.443384607,0.040330005,1.403054602
Rupnagar,48,6,716979,6.0,8.530840592,0.471251752,8.05958884
Sabar Kantha,91,0,1581118,16.0,0.981927574,0.655214573,0.326713001
Sagar,46,8,2792584,5.0,0.895085498,0.240442317,0.654643181
Saharanpur,215,9,4096003,23.0,2.705190205,0.020060771,2.685129434
Saharsa,167,9,2422652,23.0,8.841447371,0.644150281,8.19729709
Sahibganj,3,0,1863699,5.0,8.050315684,2.307096524,5.74321916
Sahibzada Ajit Singh Nag*,0,0,1662669,10.0,0.112972873,0.010724633,0.10224824
Saiha,7,0,65651,4.0,2.96841934,0.016731928,2.951687412
Salem,64,9,3947265,6.0,1.698807354,0.995995874,0.70281148
Samastipur,152,10,5463227,21.0,14.7707354,0.395790839,14.37494456
Samba,33,0,433040,6.0,0.669356657,0.039351707,0.63000495
Sambalpur,191,0,1271970,21.0,1.95082885,1.296871576,0.653957274
Sambhal,46,10,2818198,23.0,2.052578084,0.044450144,2.00812794
Sangareddy,6,1,1729145,7.0,1.457531752,1.462695895,0.005164143
Sangli,107,13,3253446,4.0,0.816411266,0.371511861,0.444899405
Sangrur,44,1,1835441,7.0,2.448919322,0.0,2.448919322
Sant Kabir Nagar,48,1,1990205,23.0,6.190358252,0.19440129,5.995956962
Saraikela-kharsawan,1,0,1170854,2.0,1.982457722,1.685259625,0.297198097
Saran,177,2,4674827,22.0,13.6847545,1.299936265,12.38481824
Satara,108,67,3138971,3.0,0.886672906,0.88365251,0.003020396
Satna,28,0,2619145,6.0,0.676054775,0.682682458,0.006627683
Sawai Madhopur,121,254,1511281,22.0,1.752297609,0.2640657,1.488231909
Sehore,36,2,1581777,5.0,1.308962201,0.443833329,0.865128872
Senapati,0,0,459428,7.0,0.710207411,0.0,0.710207411
Seoni,18,0,1600897,5.0,1.235483561,0.815741223,0.419742338
Serchhip,8,1,61426,3.0,1.328475491,0.0,1.328475491
Shahdara,2,4,1645700,3.0,0.1,0.0,0.1
Shahdol,2,2,1075359,6.0,0.76725114,0.771098824,0.003847684
Shahid Bhagat Singh Nagar,5,0,636289,6.0,10.97305613,0.067246598,10.90580953
Shahjahanpur,64,3,3533793,20.0,4.764711247,0.007833177,4.75687807
Shajapur,7,0,1036523,6.0,0.571010644,0.057503291,0.513507353
Shamli,44,3,1373173,26.0,1.857718186,0.0,1.857718186
Sheikhpura,82,0,820089,28.0,3.509671673,0.004092988,3.505578685
Sheohar,136,1,851775,23.0,9.002316572,0.0,9.002316572
Sheopur,5,0,890783,7.0,1.417634793,0.185883526,1.231751267
Shi Yomi,4,1,12507,5.0,0.730870815,0.051292052,0.679578763
Shimla,355,172,904737,4.0,0.771392749,0.035574686,0.735818063
Shivamogga,74,12,1877441,9.0,1.276369106,1.203198506,0.0731706
Shivpuri,13,0,2047132,6.0,0.728096946,0.56739149,0.160705456
Shrawasti,47,1,1390228,24.0,7.721578816,0.028878669,7.692700147
Shupiyan,32,1,391024,6.0,1.082625131,0.002022763,1.080602368
Siang,4,1,48365,5.0,2.518308001,0.498407734,2.019900267
Siddharthnagar,0,0,3367475,1.0,13.40492833,0.022007889,13.38292044
Siddipet,2,0,1102022,7.0,0.469975702,0.091876715,0.378098987
Sidhi,2,0,1292335,8.0,2.184368869,0.402325215,1.782043654
Sikar,87,2,3026385,6.0,0.420855874,0.0,0.420855874
Simdega,1,0,677321,2.0,1.054648305,0.125948542,0.928699763
Sindhudurg,190,103,808570,4.0,1.40862314,0.632545644,0.776077496
Singrauli,6,0,1558134,8.0,1.521857949,0.715195816,0.806662133
Sipahijala,10,1,477873,4.0,0.601362713,0.003254841,0.598107872
Sirmaur,84,14,564300,5.0,1.011405104,0.033540578,0.977864526
Sirohi,71,6,1264133,22.0,0.276456745,0.023800256,0.252656489
Sirsa,44,5,1511023,6.0,9.796778385,0.001758909,9.795019476
Sitamarhi,196,1,4182895,20.0,4.621194206,0.001510558,4.619683648
Sitapur,177,11,5391584,13.0,3.400453125,0.025174919,3.375278206
Sivaganga,16,4,1534446,10.0,1.984480953,0.051279472,1.933201481
Sivasagar,117,15,800874,12.0,17.15000888,0.611686093,16.53832279
Siwan,133,0,3880318,23.0,6.753345435,0.145588085,6.60775735
Solan,116,15,678073,5.0,0.404819031,0.124151886,0.280667145
Solapur,161,11,4817374,3.0,1.684216461,0.761165008,0.923051453
Sonbhadra,50,0,2259539,24.0,2.644815378,2.70977361,0.064958232
Sonipat,22,5,1771137,6.0,0.905127272,0.0,0.905127272
Sonitpur,144,8,1462078,9.0,7.745899654,2.549489328,5.196410326
South,2,4,1636592,3.0,0.006747594,0.0,0.006747594
South Andaman,1,0,257900,2.0,1.443452407,0.0,1.443452407
South District,19,4,164403,4.0,1.694907072,0.18276756,1.512139512
South East,2,4,1758195,3.0,0.675204493,0.045915107,0.629289386
South Garo Hills,20,0,190314,3.0,1.298508569,0.025829871,1.272678698
South Goa,2,4,857449,16.0,2.764330826,0.971762276,1.79256855
South Salmara Mancachar,39,1,533060,16.0,28.02392571,10.81288284,17.21104287
South Tripura,12,2,415745,4.0,0.931395601,0.0,0.931395601
South Twenty Four Pargan*,30,0,12843801,17.0,17.30461094,7.77866316,9.52594778
South West,13,4,1719303,3.0,3.339650881,0.0,3.339650881
South West Garo Hills,13,0,161524,5.0,3.341603843,0.001275329,3.340328514
South West Khasi Hills,5,0,136573,3.0,1.814196952,0.045431517,1.768765435
Sri Muktsar Sahib,6,0,1149045,7.0,2.388794655,0.000403704,2.388390951
Sri Potti Sriramulu Nell*,175,0,3285473,6.0,4.296954395,3.608219113,0.688735282
Srikakulam,144,0,2726592,6.0,4.01307877,0.566374643,3.446704127
Srinagar,73,7,904040,6.0,1.003599347,0.724666434,0.278932913
Subarnapur,26,0,663973,33.0,3.493045358,1.212807104,2.280238254
Sukma,0,0,259382,1.0,1.578192343,0.11146237,1.466729973
Sultanpur,139,2,2509152,20.0,4.349309327,0.002008734,4.347300593
Sundargarh,28,0,2361775,33.0,2.122434122,0.304650931,1.817783191
Supaul,162,10,2904278,22.0,7.982821848,0.634587242,7.348234606
Surajpur,0,0,917283,,1.420793586,0.200734056,1.22005953
Surat,215,9,8228098,11.0,5.928437334,0.593664003,5.334773331
Surendranagar,109,5,1806637,13.0,1.286502045,0.14688655,1.139615495
Surguja,12,2,971194,1.0,0.479102379,0.278929567,0.200172812
Suryapet,1,0,1145777,11.0,1.862321095,0.526090291,1.336230804
Tamenglong,11,2,139509,5.0,1.701837152,0.006002374,1.695834778
Tapi,45,3,952637,18.0,3.084521179,2.984765412,0.099755767
Tarn Taran,5,0,1251033,6.0,5.771552223,0.165720765,5.605831458
Tawang,92,8,60141,6.0,1.104117118,0.227751689,0.876365429
Tehri Garhwal,102,6,665938,2.0,1.072103335,0.531062216,0.541041119
Tengnoupal,0,0,75461,7.0,0.539127806,0.0,0.539127806
Tenkasi,16,4,1653931,11.0,0.457961738,0.050554592,0.407407146
Thane,418,204,9950177,3.0,3.51519111,2.261563329,1.253627781
Thanjavur,144,22,2499232,9.0,6.402076626,0.139785443,6.262291183
The Dangs,68,4,274863,24.0,2.171927273,0.007193835,2.164733438
The Nilgiris,156,23,708881,6.0,0.41168295,0.339577292,0.072105658
Theni,23,5,1406691,8.0,0.346368373,0.314606199,0.031762174
Thiruvallur,44,6,4840586,6.0,2.527745598,2.390831933,0.136913665
Thiruvananthapuram,276,149,3288743,4.0,0.884604088,0.648894373,0.235709715
Thiruvarur,41,5,1412221,5.0,2.20727188,0.026905003,2.180366877
Thoothukkudi,34,4,1817973,6.0,0.991755053,1.009030229,0.017275176
Thoubal,7,2,325077,5.0,23.65742483,0.052982735,23.6044421
Thrissur,124,43,3305535,5.0,5.136358427,0.761485485,4.374872942
Tikamgarh,9,0,1216750,6.0,0.397359874,0.123153605,0.274206269
Tinsukia,105,45,1408250,13.0,6.140689939,1.259207522,4.881482417
Tirap,4,1,69112,5.0,0.650808941,0.020888139,0.629920802
Tiruchirappalli,85,53,3072981,6.0,2.799798931,0.030082563,2.769716368
Tirunelveli,3,0,1871307,1.0,0.61478851,0.622191008,0.007402498
Tirupathur,16,4,1329320,11.0,0.890009742,0.007876167,0.882133575
Tiruppur,20,4,3131866,8.0,0.635364224,0.084088984,0.55127524
Tiruvannamalai,48,10,2908761,5.0,1.068840485,0.111931507,0.956908978
Tonk,137,252,1641156,21.0,0.845948588,0.871896612,0.025948024
Tuensang,0,0,197958,7.0,0.650005813,0.0,0.650005813
Tumakuru,25,2,2774415,17.0,0.340404409,0.284595715,0.055808694
Udaipur,97,6,3607694,14.0,0.289382661,0.290943084,0.001560423
Udalguri,51,2,909069,10.0,3.138974031,0.003282254,3.135691777
Udham Singh Nagar,26,3,2171345,2.0,2.061876849,0.785339181,1.276537668
Udhampur,121,8,695644,5.0,0.487802833,0.013526323,0.47427651
Udupi,58,21,1144919,10.0,0.74927375,0.741689148,0.007584602
Ujjain,50,3,2261682,4.0,0.752619653,0.044407032,0.708212621
Ukhrul,0,0,178796,7.0,0.669906789,0.0,0.669906789
Umaria,3,0,849658,7.0,0.907342834,0.911756287,0.004413453
Una,65,5,573625,6.0,0.647137511,0.628882095,0.018255416
Unnao,97,4,3601532,18.0,3.590127624,0.07773585,3.512391774
Unokoti,10,1,370767,4.0,23.62357053,0.001642557,23.62192797
Upper Dibang Valley,5,1,10102,5.0,1.084032399,0.372682252,0.711350147
Upper Siang,24,671,34326,4.0,2.722491305,0.336009842,2.386481463
Upper Subansiri,5,1,119722,7.0,1.234996868,0.078758779,1.156238089
Uttar Bastar Kanker,7,2,868469,1.0,0.836672614,0.106473076,0.730199538
Uttar Dinajpur,46,3,3289303,10.0,6.673772935,0.007231452,6.666541483
Uttara Kannada,102,19,1597345,7.0,4.074727101,1.655079328,2.419647773
Uttarkashi,1373,25,410687,5.0,0.450692495,0.082932117,0.367760378
Vadodara,105,3,3437852,13.0,3.328415211,0.284762754,3.043652457
Vaishali,111,2,4598311,23.0,17.98113124,1.112916504,16.86821474
Valsad,126,2,2077846,17.0,2.551668353,0.812747791,1.738920562
Varanasi,363,5,4311285,18.0,4.599652222,0.883647796,3.716004426
Vellore,38,23,1718125,6.0,0.459638695,0.021681234,0.437957461
Vidisha,35,6,1710603,4.0,0.912677122,0.277215122,0.635462
Vijayapura,45,1,2612195,8.0,0.883343513,0.871904394,0.011439119
Vikarabad,10,1,1308948,9.0,0.271652781,0.187043402,0.084609379
Viluppuram,75,10,2449240,6.0,2.829205267,0.250109562,2.579095705
Virudhunagar,26,5,2112777,6.0,1.881503151,0.022872843,1.858630308
Visakhapatnam,106,115,4885485,10.0,1.175590784,0.439675977,0.735914807
Vizianagaram,63,107,2443656,9.0,1.110588388,0.320586402,0.790001986
Wanaparthy,1,0,680558,10.0,5.911067913,0.984745694,4.926322219
Warangal Rural,134,2,811309,6.0,0.420854233,0.3791028,0.041751433
Warangal Urban,127,1,1152989,7.0,0.487587909,0.354480511,0.133107398
Wardha,134,20,1365264,5.0,1.65012412,1.005544539,0.644579581
Washim,62,6,1362768,4.0,0.392447344,0.392373985,7.34e-05
Wayanad,151,95,847406,4.0,0.815062099,0.354881107,0.460180992
West,2,6,3053772,3.0,5.312905892,0.0,5.312905892
West District,23,12,133590,3.0,0.75096604,0.065150406,0.685815634
West Garo Hills,28,0,701102,3.0,1.111942423,0.032280391,1.079662032
West Godavari,232,0,4167944,8.0,5.603589524,2.064339191,3.539250333
West Jaintia Hills,4,0,372716,3.0,1.733990094,0.091584225,1.642405869
West Kameng,22,6,99039,4.0,1.93207052,0.043990415,1.888080105
West Karbi Anglong,38,1,363939,26.0,3.225931636,0.096610327,3.129321309
West Khasi Hills,18,5,341864,3.0,1.198133343,0.006185816,1.191947527
West Nimar,52,18,2194354,4.0,1.727264926,0.465974584,1.261290342
West Siang,52,668,48422,7.0,0.744207577,0.123427923,0.620779654
West Tripura,66,110,1081396,4.0,0.612502471,0.0,0.612502471
Wokha,0,0,164833,4.0,2.044958036,0.491956258,1.553001778
Y.S.R.,144,1,3162142,9.0,1.141752714,1.095797136,0.045955578
Yadadri Bhuvanagiri,3,0,769265,10.0,0.630428715,0.084363209,0.546065506
Yadgir,64,5,1373369,13.0,1.651730783,0.57450138,1.077229403
Yamunanagar,11,5,1366309,5.0,5.773638579,0.042011596,5.731626983
Yanam,0,0,47877,7.0,32.6562,29.67097127,2.98522873
Yavatmal,211,22,3117757,4.0,0.98190471,0.983855741,0.001951031
Zunheboto,4,0,135618,19.0,0.640526895,0.0,0.640526895
